Sector,Name,Symbol,Feature 1,Feature 2,Feature 3,Feature 4
Industrials,3M Company,MMM,-0.5234665275,-0.9198403955,1.376238346,0.02486239187
Industrials,A.O. Smith Corp,AOS,0.5095832348,0.286456883,-0.0465871878,-1.40731144
Health Care,Abbott Laboratories,ABT,-0.3744578362,-0.6757110953,1.216313958,-0.1115066633
Health Care,AbbVie Inc.,ABBV,1.20543313,-0.4972319901,0.6669899821,-0.2909937799
Information Technology,Accenture plc,ACN,3.329297066,-0.9671343565,-0.7940058708,-1.376684546
Information Technology,Activision Blizzard,ATVI,2.482999325,-0.7018250823,-0.2221205682,-0.9393137693
Industrials,Acuity Brands Inc,AYI,-0.8623735309,-0.397683233,1.372729182,-0.1458292902
Information Technology,Adobe Systems Inc,ADBE,-0.9257280827,0.3737454116,0.9253681302,-0.7590430379
Consumer Discretionary,Advance Auto Parts,AAP,1.69224894,-2.307023287,0.8871960044,0.2911383212
Information Technology,Advanced Micro Devices Inc,AMD,0.8549079895,-0.6017428637,0.8857728243,-0.1308104694
Utilities,AES Corp,AES,1.084805131,-0.697286427,0.9075000882,-0.05171756074
Health Care,Aetna Inc,AET,-2.927898645,0.6444334984,1.503620505,-0.8300010562
Financials,Affiliated Managers Group Inc,AMG,2.444628477,-0.3059120178,-0.524006784,-1.382672668
Financials,AFLAC Inc,AFL,1.43462801,-0.01712188125,0.07681401819,-0.9590414762
Health Care,Agilent Technologies Inc,A,1.322312593,-0.3226217926,-0.1135368496,-1.16636014
Materials,Air Products & Chemicals Inc,APD,1.546167731,-0.008342020214,-0.1655355543,-1.252779722
Information Technology,Akamai Technologies Inc,AKAM,0.04270458966,0.5731273293,-0.07893763483,-1.640612602
Industrials,Alaska Air Group Inc,ALK,-1.153128505,-0.1548604667,1.11863327,-0.5511098504
Materials,Albemarle Corp,ALB,2.221940517,-1.534243822,-0.544334352,-1.282515883
Real Estate,Alexandria Real Estate Equities Inc,ARE,-0.6238895655,-0.5073097944,1.15108192,-0.301897347
Health Care,Alexion Pharmaceuticals,ALXN,-0.6689810157,-0.4557274878,0.9554166198,-0.5318328142
Health Care,Align Technology,ALGN,0.9116675258,-2.324282408,1.414755821,0.6302238107
Industrials,Allegion,ALLE,-0.3900731206,2.491349459,0.1432994455,-1.802623034
Health Care,"Allergan, Plc",AGN,-1.179868817,3.490352392,0.8524589539,-1.405496716
Information Technology,Alliance Data Systems,ADS,1.087991357,-0.8818132281,0.6695897579,-0.2796958983
Utilities,Alliant Energy Corp,LNT,-1.520127892,1.484863639,-0.5752418637,-2.862714767
Financials,Allstate Corp,ALL,1.662513375,-0.7091793418,-0.3780032992,-1.327523232
Information Technology,Alphabet Inc Class A,GOOGL,1.64687109,-0.08357617259,-0.2258444577,-1.264196873
Information Technology,Alphabet Inc Class C,GOOG,0.2679052949,-0.1129898429,0.6757535338,-0.614787221
Consumer Staples,Altria Group Inc,MO,1.43024075,-0.6136439443,0.7051668763,-0.1820813119
Consumer Discretionary,Amazon.com Inc,AMZN,0.3740850389,-2.200248003,1.473700285,0.5210971832
Utilities,Ameren Corp,AEE,0.7016282082,-0.2818151116,0.2469286919,-0.9594659209
Industrials,American Airlines Group,AAL,0.2149867415,-1.934115767,1.691741467,0.6841001511
Utilities,American Electric Power,AEP,-0.1528614908,-0.2772367001,0.6951594353,-0.7047929764
Financials,American Express Co,AXP,-1.273243427,0.3340659738,1.60150218,-0.1241264418
Financials,"American International Group, Inc.",AIG,0.006787783466,-0.5090165138,1.349722624,0.1051426902
Real Estate,American Tower Corp A,AMT,1.751856089,-0.7373570204,-0.4646844268,-1.410367489
Utilities,American Water Works Company Inc,AWK,2.88381958,0.6190600991,-0.7993429303,-1.759228706
Financials,Ameriprise Financial,AMP,-1.33850944,3.380372763,1.021275043,-1.298984885
Health Care,AmerisourceBergen Corp,ABC,0.1419883072,-0.09284677356,0.419545114,-0.9359362721
Industrials,AMETEK Inc,AME,-2.586739302,0.5590302348,1.721455455,-0.4389855862
Health Care,Amgen Inc,AMGN,0.3697056174,-0.9592758417,0.4469305873,-0.7468941212
Information Technology,Amphenol Corp,APH,0.2979237735,-0.5383532047,0.8093177676,-0.4165627658
Energy,Anadarko Petroleum Corp,APC,0.6144371033,-0.3876996636,0.2384972721,-0.9512216449
Information Technology,"Analog Devices, Inc.",ADI,-0.9385458231,-0.3678407669,1.351242185,-0.201289922
Energy,Andeavor,ANDV,-2.077764273,0.7246739268,0.9771888256,-1.131134629
Information Technology,ANSYS,ANSS,0.6320668459,-1.740436792,1.143773675,0.2365680635
Health Care,Anthem Inc.,ANTM,0.93739748,-0.39548558,0.6506345868,-0.4069021344
Financials,Aon plc,AON,0.8591332436,1.352063298,0.3597195148,-1.038332462
Energy,Apache Corporation,APA,2.666809559,-0.5556017756,-0.4155711532,-1.167219043
Real Estate,Apartment Investment & Management,AIV,-0.9165484905,-0.844217658,1.51232481,0.05091589689
Information Technology,Apple Inc.,AAPL,1.926322699,-0.2283466011,-0.07699194551,-1.013046503
Information Technology,Applied Materials Inc,AMAT,4.161217213,-0.9514482021,-0.8662320971,-1.310514569
Consumer Discretionary,Aptiv Plc,APTV,-0.05763128772,-0.1768005341,0.6758162379,-0.7062535882
Consumer Staples,Archer-Daniels-Midland Co,ADM,1.606159329,-2.736975908,0.9503974915,0.3808734417
Industrials,Arconic Inc,ARNC,-0.9566572905,-1.055786967,1.447567582,-0.004627488554
Financials,Arthur J. Gallagher & Co.,AJG,-0.5528431535,-0.3276839852,1.303692222,-0.1334155351
Financials,Assurant Inc,AIZ,-1.307196379,0.4581913948,1.331939101,-0.4175699949
Telecommunication Services,AT&T Inc,T,-0.2325100005,-0.08037564903,0.1666798294,-1.33347702
Information Technology,Autodesk Inc,ADSK,-0.4596833289,-1.964258552,1.893704295,0.7326030135
Information Technology,Automatic Data Processing,ADP,-1.512396097,0.7521420121,1.434407115,-0.4409009516
Consumer Discretionary,AutoZone Inc,AZO,0.9255580306,-1.119005919,0.9492434263,0.009518110193
Real Estate,"AvalonBay Communities, Inc.",AVB,0.6049746275,-0.2643284798,0.1084886193,-1.143962741
Materials,Avery Dennison Corp,AVY,-1.85407865,0.09798064828,1.826925397,-0.02769181505
Energy,"Baker Hughes, a GE Company",BHGE,-0.6497923136,0.1131431758,0.7283103466,-0.859343946
Materials,Ball Corp,BLL,1.436358333,0.977627635,0.3962677717,-0.7880704403
Financials,Bank of America Corp,BAC,0.2293945402,-0.630379498,0.8030152917,-0.403806895
Health Care,Baxter International Inc.,BAX,1.022938848,-0.6627437472,0.3465251923,-0.6792545319
Financials,BB&T Corporation,BBT,4.642396927,0.7916874886,-0.5561760664,-1.215001464
Health Care,Becton Dickinson,BDX,0.01465546153,-0.02197850309,0.8031156063,-0.5617792606
Financials,Berkshire Hathaway,BRK.B,-0.7082079649,0.2377247661,0.9478412271,-0.6297183633
Consumer Discretionary,Best Buy Co. Inc.,BBY,-1.380149245,-0.5590786338,1.521769524,-0.1135332659
Health Care,Biogen Inc.,BIIB,1.039694786,-1.333937049,0.7001594901,-0.2031293362
Financials,BlackRock,BLK,3.033363819,1.130478978,0.1566740572,-0.6452487111
Financials,Block H&R,HRB,-0.1221435219,-0.7632195354,0.5653524399,-0.7733983994
Industrials,Boeing Company,BA,-0.7873858809,0.1855687201,0.9605734348,-0.6495876312
Consumer Discretionary,BorgWarner,BWA,1.415440917,-0.5590118766,0.3695001602,-0.5667194724
Real Estate,Boston Properties,BXP,-1.845268011,3.415465593,1.224173665,-1.250861406
Health Care,Boston Scientific,BSX,1.623255014,-0.6711801291,0.1764878631,-0.7223693728
Financials,Brighthouse Financial Inc,BHF,-2.738532305,0.8623117208,1.707523584,-0.5715435743
Health Care,Bristol-Myers Squibb,BMY,1.863824129,-0.157234773,-0.1575145572,-1.140286922
Information Technology,Broadcom,AVGO,1.118478179,-0.2380068004,0.2220426947,-0.8829268813
Consumer Staples,Brown-Forman Corp.,BF.B,-1.907506347,0.837362349,1.582899809,-0.4222231805
Industrials,C. H. Robinson Worldwide,CHRW,4.731361866,1.034373283,-0.418795526,-1.037296772
Information Technology,"CA, Inc.",CA,0.2625180185,-1.702405095,1.345121264,0.3335800171
Energy,Cabot Oil & Gas,COG,-0.3671575189,-0.290767312,0.6435895562,-0.8103078008
